age,years_cdl,years_owner_op,fico_score,is_foreign_born,violations_3y,avg_weekly_miles,loads_per_month,freight_type,unique_brokers_6m,on_time_delivery_pct,avg_days_between_loads,gross_weekly_revenue,net_weekly_income,payment_to_income_ratio,avg_account_balance,prior_late_payments,region,contract_start_month,default_12m
46,18,17,651,1,0,3389,11,dry_van,6,84.9,3.98,7702,2434,0.284,1117,0,south,6,0
63,40,37,805,1,0,2337,14,reefer,5,58.3,7.03,5527,1305,0.53,7240,2,northeast,10,0
38,15,12,692,0,0,1875,11,dry_van,6,83.7,3.77,3677,568,1.219,1807,0,midwest,1,0
37,16,11,650,1,2,2975,4,dry_van,5,61.7,4.81,6151,1526,0.453,1811,1,southeast,7,0
34,13,9,665,0,1,2792,16,dry_van,5,61.7,3.0,6311,1509,0.459,122,0,midwest,7,0
48,27,27,517,0,1,3141,16,dry_van,6,66.7,5.18,7273,2469,0.28,310,1,west,11,0
53,32,14,561,0,0,2739,10,dry_van,8,55.5,1.39,6407,1164,0.595,5660,2,midwest,11,1
41,16,14,464,1,0,3653,12,reefer,8,97.4,5.09,9494,2895,0.239,5053,3,midwest,10,1
34,9,8,761,0,0,2515,16,dry_van,9,84.3,0.96,4878,895,0.774,2281,0,northeast,5,0
34,9,8,747,0,1,3071,16,reefer,6,42.9,1.82,7633,1927,0.359,38627,0,west,1,0
49,28,24,667,1,0,2364,17,dry_van,3,80.0,2.94,5180,777,0.891,1365,2,south,1,0
49,25,23,649,0,1,2821,13,reefer,4,77.9,3.93,6580,1261,0.549,4111,2,midwest,3,0
47,25,24,531,1,1,2905,15,reefer,1,90.0,5.32,5931,1142,0.606,3503,2,midwest,2,1
35,12,3,625,1,2,2975,17,dry_van,6,95.5,1.98,6155,1428,0.485,5704,4,midwest,7,0
44,17,15,765,0,1,2949,11,reefer,5,91.0,3.51,8117,2193,0.316,4462,0,northeast,5,0
43,20,20,649,0,0,1143,14,dry_van,2,74.2,1.94,2536,241,2.866,527,0,southeast,3,0
44,23,15,600,1,2,2569,4,dry_van,2,84.3,1.94,5425,1374,0.504,577,2,midwest,8,0
51,29,26,517,1,0,2341,6,reefer,5,92.4,2.21,5209,1447,0.478,1664,1,southeast,10,1
44,14,12,737,0,0,2430,14,reefer,4,74.7,5.67,6148,1649,0.42,3954,0,southeast,8,0
49,21,16,635,1,2,2472,14,dry_van,6,81.0,4.44,6127,1195,0.579,14558,1,south,3,0
43,17,17,517,0,1,3040,11,dry_van,7,89.0,2.68,6903,1696,0.408,4093,0,midwest,2,0
45,24,24,575,0,3,2691,10,reefer,8,44.0,0.5,5817,1395,0.496,1224,1,southeast,7,1
48,27,23,551,1,0,2372,11,dry_van,3,82.3,5.66,4645,683,1.013,1520,0,midwest,6,0
27,6,0,631,0,0,1939,13,flatbed,5,81.0,2.83,4498,764,0.905,4821,0,southeast,12,0
39,18,18,655,1,2,3290,4,reefer,6,85.3,5.84,9288,2760,0.251,1313,1,southeast,9,0
37,16,15,605,1,0,2309,14,dry_van,7,85.9,4.52,5088,1400,0.494,4044,0,midwest,7,0
36,9,0,694,0,0,2541,12,dry_van,8,85.8,1.25,5831,922,0.751,210,2,southeast,2,0
39,14,3,646,1,1,3562,13,reefer,6,76.1,3.33,8814,2871,0.241,521,2,southeast,4,0
57,31,26,714,1,0,2321,12,reefer,8,50.7,0.75,5772,1117,0.619,3240,0,northeast,2,0
33,10,4,615,0,1,2476,7,dry_van,5,70.1,2.2,4957,1463,0.473,19674,2,south,5,0
52,31,12,850,1,1,2704,8,flatbed,3,89.7,3.17,6357,1268,0.546,953,2,south,1,0
25,2,1,600,1,0,1877,17,reefer,4,79.4,1.31,4070,590,1.173,3469,2,southeast,6,0
39,18,13,577,0,1,1825,10,dry_van,3,92.2,10.35,3918,588,1.178,8741,2,northeast,2,0
44,17,13,568,1,0,2383,15,dry_van,7,84.9,6.53,4893,1261,0.549,3047,3,southeast,3,0
48,27,26,625,1,1,2399,8,reefer,3,80.9,3.48,5508,889,0.778,1834,2,west,6,0
49,27,23,520,1,0,2660,12,reefer,4,80.2,0.59,6440,1760,0.393,8653,2,south,12,0
50,24,18,661,0,2,2160,10,dry_van,5,80.0,1.73,3933,838,0.825,486,2,northeast,11,0
39,13,12,507,1,2,2795,11,dry_van,7,61.4,1.44,5325,1517,0.456,184,1,midwest,7,1
37,11,10,651,0,1,1629,11,dry_van,2,82.1,3.97,3866,627,1.104,401,1,west,12,0
51,27,14,545,1,2,2568,17,dry_van,5,89.1,2.41,6218,1223,0.566,271,1,south,6,1
40,18,17,613,0,1,2762,19,reefer,3,83.4,4.71,7486,2382,0.29,697,0,south,4,0
29,3,0,682,0,1,2748,13,dry_van,7,90.5,4.4,5752,1359,0.509,1550,5,west,12,0
31,4,3,801,0,0,2527,11,reefer,5,52.2,1.72,6026,1046,0.662,981,2,south,8,0
33,6,3,565,0,1,2303,7,dry_van,4,93.5,2.13,5461,1033,0.67,125,3,midwest,11,1
47,21,15,629,1,2,2514,7,reefer,6,80.3,3.64,5241,1388,0.499,1358,1,midwest,3,0
43,19,18,589,1,0,3155,17,flatbed,3,74.9,3.27,7911,2268,0.305,1669,1,midwest,3,0
49,21,20,579,1,1,2330,7,dry_van,6,67.3,2.04,5208,1496,0.462,3841,1,southeast,11,0
38,12,6,590,1,1,3040,10,flatbed,7,86.8,7.7,7586,2570,0.269,6163,1,south,5,0
44,23,15,698,1,1,3112,13,reefer,7,93.4,0.5,8151,1937,0.357,3781,0,southeast,6,0
48,26,21,606,0,0,1819,3,flatbed,6,88.1,0.5,4675,1267,0.546,100,0,southeast,11,0
39,17,4,797,1,1,2542,8,dry_van,6,80.9,3.39,4845,891,0.776,821,3,midwest,10,0
47,20,16,669,0,3,2160,7,flatbed,9,91.8,5.54,5336,856,0.808,1024,1,southeast,5,1
35,12,7,569,0,2,1924,10,dry_van,5,77.0,1.87,3791,899,0.77,522,1,south,1,1
38,17,15,614,1,0,2956,13,dry_van,2,90.2,0.78,6976,2131,0.325,10283,2,northeast,10,0
38,17,16,584,1,0,2813,16,flatbed,5,82.7,0.54,7627,2625,0.264,1123,2,northeast,1,0
30,8,0,696,0,0,2719,10,flatbed,1,87.3,0.82,7344,1777,0.39,595,1,south,3,0
47,25,23,525,1,1,2112,10,dry_van,7,81.6,1.21,4857,1215,0.57,3137,1,midwest,11,1
37,15,14,546,1,1,2695,12,dry_van,6,87.2,0.75,6282,1452,0.476,323,1,south,6,0
42,20,18,599,1,0,2010,9,flatbed,4,83.0,8.75,6060,1196,0.579,619,3,midwest,3,1
47,23,21,688,0,1,2635,13,dry_van,6,87.7,0.5,5534,1394,0.496,2777,3,midwest,7,0
46,21,15,726,1,1,2302,14,dry_van,6,92.7,2.51,4957,1347,0.514,622,1,south,11,0
49,20,8,737,1,0,3073,2,dry_van,6,89.6,1.77,6616,2144,0.323,11641,0,midwest,4,0
41,18,17,677,1,0,2437,14,dry_van,5,83.8,2.95,5377,1130,0.612,3496,2,midwest,8,0
38,16,0,634,1,1,2704,12,dry_van,7,69.0,1.18,5993,1881,0.368,1986,4,midwest,12,0
41,18,2,696,1,2,2705,13,reefer,4,83.0,2.56,7334,1688,0.41,2442,0,northeast,12,0
25,4,2,560,0,0,2566,16,dry_van,7,52.5,0.66,6307,2026,0.342,382,0,midwest,1,1
28,6,0,511,0,0,2647,6,reefer,8,62.3,2.27,6485,1858,0.372,1717,3,midwest,10,0
29,7,3,671,1,1,2737,8,dry_van,9,95.0,4.59,6375,1249,0.554,461,0,southeast,10,0
32,11,10,570,0,0,2197,12,reefer,3,88.3,5.19,4622,700,0.989,6941,1,south,6,0
46,24,21,635,0,1,2781,4,dry_van,3,84.4,5.14,6320,1789,0.387,18004,0,southeast,9,0
33,12,11,648,1,1,2989,11,reefer,5,86.3,5.54,8324,2307,0.3,456,2,midwest,2,0
38,17,14,657,0,0,2779,15,reefer,3,58.2,0.59,4951,962,0.719,1031,1,south,9,0
55,31,27,706,0,0,2441,13,reefer,3,79.4,1.17,6274,1463,0.473,2207,0,northeast,6,0
38,13,13,698,1,2,2678,12,dry_van,9,68.6,2.27,6289,1134,0.61,6748,1,south,1,0
49,26,14,654,1,0,2436,11,flatbed,5,66.5,7.24,6172,1470,0.471,16704,0,midwest,3,0
33,12,9,609,0,1,2547,11,dry_van,5,73.1,4.37,5875,1279,0.541,1781,2,midwest,11,0
40,18,14,648,1,1,2066,10,dry_van,7,95.9,0.5,4299,696,0.994,9102,0,south,5,0
32,11,6,598,1,0,3221,13,reefer,2,85.3,5.77,8912,2677,0.258,2079,0,midwest,2,0
39,15,5,626,0,1,3471,7,dry_van,2,55.2,3.76,8199,1769,0.391,1174,3,southeast,2,0
50,23,21,823,0,1,2283,17,dry_van,6,81.1,4.06,5104,1404,0.493,338,1,midwest,3,0
25,2,0,653,0,0,2954,9,flatbed,6,85.6,3.97,6784,1483,0.466,850,1,midwest,3,0
46,24,22,672,1,1,3256,14,dry_van,3,90.7,1.95,6586,2035,0.34,1797,0,midwest,11,0
44,15,8,591,1,2,2169,12,reefer,1,58.3,0.5,4271,1010,0.685,1122,5,northeast,1,0
36,12,12,711,0,0,1629,8,reefer,4,83.7,5.4,3918,483,1.432,36077,2,south,6,0
28,7,0,693,0,0,3283,17,dry_van,5,89.7,0.95,7310,1746,0.396,2464,2,midwest,11,0
43,21,17,694,0,0,2595,16,dry_van,3,58.3,1.85,5466,1128,0.613,1375,3,midwest,4,0
37,12,11,655,1,1,2366,7,dry_van,5,82.1,3.18,4971,1182,0.585,337,0,west,7,0
44,22,3,712,0,0,2621,12,reefer,2,84.9,1.28,6111,1016,0.681,1175,0,south,9,0
42,19,14,729,1,1,2434,13,reefer,5,74.0,1.19,5449,1403,0.493,965,1,south,2,0
58,36,33,660,1,1,3932,5,dry_van,3,56.2,1.25,8280,2755,0.251,1639,1,midwest,3,0
40,18,15,632,0,2,2361,5,reefer,6,83.6,4.14,5817,1535,0.451,14733,0,midwest,11,0
32,11,10,703,1,1,2747,9,dry_van,1,94.4,1.52,4999,1374,0.504,3789,0,midwest,6,0
44,20,18,577,0,0,3182,7,reefer,2,79.6,0.95,8636,1698,0.407,2627,2,midwest,12,0
44,20,18,590,0,3,3179,8,dry_van,5,94.2,2.2,6618,1187,0.583,1359,2,northeast,4,0
56,29,29,636,0,0,3093,7,dry_van,7,75.0,3.65,6264,1246,0.556,1213,2,midwest,2,0
50,28,22,518,1,0,2408,12,dry_van,3,82.3,3.45,5627,1084,0.638,2565,2,west,5,0
46,25,25,698,1,0,2532,9,reefer,5,59.7,0.5,6682,2161,0.32,3491,3,midwest,11,0
57,29,27,573,0,0,1621,16,dry_van,9,92.5,4.49,4080,819,0.844,3674,1,midwest,11,0
30,6,2,607,0,0,2566,13,dry_van,4,91.5,0.81,6251,1752,0.395,4732,2,northeast,11,0
36,15,6,625,0,0,2615,15,flatbed,6,83.9,1.73,6001,1862,0.372,4902,1,west,3,0
33,0,0,643,1,0,2934,6,dry_van,7,78.8,3.2,6576,1268,0.546,414,1,midwest,2,1
38,11,4,616,0,1,3408,10,dry_van,7,87.8,1.53,8010,1588,0.436,2461,2,midwest,11,0
28,6,0,635,1,1,2920,12,dry_van,9,78.9,9.07,6796,1515,0.457,6618,1,southeast,5,0
48,24,12,636,1,1,3082,14,reefer,9,57.6,1.29,6510,1978,0.35,1028,1,south,9,0
40,18,0,609,1,2,2592,10,dry_van,4,96.7,2.01,5206,828,0.836,729,1,midwest,1,0
27,5,4,586,1,0,3178,10,flatbed,2,70.9,5.61,7703,1759,0.394,255,0,south,12,0
32,9,9,716,1,0,2605,11,dry_van,11,84.1,2.29,6037,1880,0.368,655,0,west,11,0
45,23,9,493,1,1,3113,11,flatbed,6,73.1,7.65,7672,1800,0.384,1420,1,south,5,1
50,28,26,626,1,2,2962,20,dry_van,3,74.4,2.79,6741,2187,0.316,6218,3,midwest,9,0
62,41,17,607,0,3,2777,13,flatbed,4,74.5,0.96,7013,1993,0.347,362,1,south,4,0
70,34,28,669,1,0,1907,12,dry_van,6,84.7,7.75,4425,1210,0.572,6498,0,southeast,10,0
46,22,6,538,0,3,3092,8,dry_van,8,87.3,3.39,6846,1446,0.478,1982,0,west,11,0
32,11,7,605,0,0,2770,8,flatbed,6,73.7,3.24,7307,1820,0.38,349,5,south,8,0
21,0,0,633,1,1,2916,11,dry_van,5,78.8,3.51,5228,1201,0.576,3670,0,southeast,8,0
45,20,18,715,0,1,2741,16,reefer,4,83.1,14.49,6145,1178,0.587,3743,2,south,12,0
34,0,0,663,1,0,2819,11,reefer,6,57.4,1.72,7216,1523,0.454,2322,1,northeast,8,0
38,15,8,557,1,0,3185,11,dry_van,5,77.8,4.17,6721,1591,0.435,2863,1,south,7,0
36,14,14,606,0,1,2387,9,dry_van,1,67.2,1.49,4669,1349,0.513,4072,4,northeast,9,1
41,6,5,702,0,2,2810,6,flatbed,4,84.2,2.38,6400,1047,0.661,2189,1,midwest,5,0
53,29,9,556,1,0,2250,14,reefer,4,89.1,2.4,4648,622,1.113,5046,3,west,4,0
44,22,13,634,0,0,2860,11,flatbed,9,78.7,3.91,7592,2052,0.337,467,2,midwest,9,0
40,17,15,639,0,1,2713,14,reefer,4,64.0,1.07,7638,1556,0.445,2701,2,south,10,0
32,9,8,613,1,0,2316,13,reefer,2,85.2,4.48,4794,1123,0.616,2741,3,midwest,5,1
25,0,0,829,1,1,2642,9,reefer,1,96.3,0.53,6594,2002,0.346,6021,1,midwest,10,0
37,13,8,611,0,0,2344,13,dry_van,8,64.1,4.79,4930,1179,0.587,3900,3,northeast,1,0
41,12,12,671,0,1,2430,7,flatbed,3,91.0,0.5,6159,1187,0.583,1168,0,west,10,0
60,34,34,586,0,0,2760,13,flatbed,2,76.9,1.65,7198,2436,0.284,3497,2,south,7,0
43,21,13,677,0,0,2721,12,reefer,7,51.7,3.52,5736,948,0.73,726,1,southeast,3,0
52,23,22,701,1,4,1736,17,flatbed,3,95.3,3.87,4478,584,1.185,654,1,west,3,0
37,15,14,599,1,1,2767,9,dry_van,10,86.4,3.2,6962,2256,0.307,1658,1,south,5,0
30,7,5,636,0,2,2464,7,dry_van,7,36.6,4.9,5471,1351,0.512,603,4,southeast,11,0
32,11,9,577,0,2,2414,11,dry_van,6,94.5,2.44,5287,916,0.755,1374,1,northeast,11,1
35,10,8,560,1,2,2093,14,reefer,7,87.9,1.78,5114,708,0.978,3734,0,west,10,1
63,39,39,713,0,0,2580,2,dry_van,6,85.8,2.68,5500,962,0.719,4980,2,southeast,5,0
34,9,8,601,1,1,2365,15,dry_van,3,89.2,1.32,5497,1575,0.439,561,3,southeast,5,1
50,19,16,471,1,0,3173,11,reefer,5,86.6,3.87,8416,2600,0.266,185,2,southeast,11,1
33,11,8,764,0,1,1813,8,dry_van,8,79.7,3.06,3825,736,0.941,627,2,southeast,9,0
51,26,24,584,1,0,2166,11,dry_van,2,90.0,4.73,4066,893,0.775,1229,1,southeast,1,0
46,22,6,623,1,0,2136,9,dry_van,5,75.7,1.35,5041,1096,0.632,22650,2,south,4,0
40,12,0,755,1,1,2716,8,dry_van,7,78.5,2.55,5818,1305,0.53,821,0,northeast,2,0
42,12,11,630,1,2,3128,5,dry_van,4,86.3,1.98,6632,1524,0.454,12286,1,south,8,0
35,8,0,629,0,3,2826,15,dry_van,4,81.4,0.61,6657,2100,0.33,4109,0,south,3,0
46,23,13,554,1,0,2107,10,dry_van,2,91.9,1.39,4478,1179,0.587,1701,0,midwest,2,1
37,15,8,526,1,3,2407,11,dry_van,9,75.8,2.64,5752,1113,0.622,1521,0,west,4,1
30,9,0,628,0,1,2236,15,flatbed,3,91.7,1.2,6312,1057,0.655,6627,1,west,10,0
29,7,4,665,0,3,2828,12,dry_van,1,81.8,0.5,6755,1739,0.398,971,0,northeast,3,0
44,21,17,661,0,1,2398,7,dry_van,6,95.2,1.39,5407,940,0.736,14853,0,midwest,9,0
58,29,19,606,0,1,1964,14,reefer,3,87.2,3.1,4752,1302,0.531,3498,2,west,12,0
44,22,15,641,0,1,2863,17,dry_van,7,76.2,2.66,5969,1715,0.403,1303,1,southeast,5,0
41,20,19,511,0,1,3168,14,dry_van,2,67.3,12.53,6210,1065,0.65,2169,2,southeast,1,1
45,23,23,672,1,0,2520,9,reefer,8,92.2,2.84,6745,1306,0.53,6304,1,midwest,7,0
55,33,32,651,1,1,2654,7,dry_van,2,82.3,1.27,5781,1411,0.49,12976,1,midwest,4,0
44,22,22,778,1,1,1922,9,flatbed,4,71.2,4.25,4723,585,1.184,2832,2,southeast,4,0
38,15,11,641,0,0,1673,12,dry_van,5,64.0,4.04,3816,443,1.563,1094,0,midwest,7,0
53,30,25,574,0,1,1768,17,reefer,3,84.1,2.61,4782,1016,0.681,2427,2,northeast,10,0
46,25,18,636,0,1,2580,9,flatbed,3,80.7,0.5,6700,2015,0.343,535,2,south,6,0
57,34,33,617,0,0,2461,10,flatbed,5,90.8,2.68,6813,1854,0.373,4198,3,midwest,12,0
44,19,7,670,0,0,2846,16,dry_van,6,73.1,3.89,6806,1666,0.415,905,1,west,8,0
30,6,0,642,1,0,2511,10,reefer,7,82.0,4.75,6113,1821,0.38,1110,0,south,1,0
28,7,5,552,1,1,3044,18,dry_van,8,58.2,2.2,6417,1904,0.363,5053,1,southeast,9,0
59,30,17,525,0,0,2993,11,dry_van,4,80.8,2.81,7038,1920,0.36,4833,2,southeast,5,0
59,36,31,658,1,1,2455,16,reefer,3,82.2,0.63,6064,1707,0.405,716,2,southeast,3,0
40,17,6,737,0,1,2148,13,dry_van,3,80.8,5.26,4758,1101,0.629,2418,0,midwest,12,0
38,16,7,646,1,0,1738,14,dry_van,4,76.7,2.22,3733,351,1.974,2035,0,southeast,12,0
57,31,31,697,1,0,3245,11,reefer,8,98.8,2.45,7988,1942,0.356,927,1,south,9,0
31,6,2,711,0,1,2176,12,dry_van,1,83.3,5.83,4499,776,0.892,2365,5,south,3,0
33,12,10,659,1,2,1927,13,reefer,3,94.4,2.19,4464,648,1.068,1819,2,southeast,8,0
48,27,26,583,0,1,2658,15,dry_van,6,78.4,2.93,6905,1711,0.404,1402,0,south,3,0
38,17,16,654,1,1,1931,14,reefer,7,96.3,1.54,4628,941,0.735,5009,1,midwest,8,0
42,19,2,724,1,0,2658,6,dry_van,2,80.7,4.98,6138,1777,0.389,439,0,midwest,12,0
40,1,0,677,0,2,2449,13,reefer,6,80.6,5.64,5745,859,0.805,1183,0,south,7,0
45,16,14,692,1,0,3016,10,dry_van,5,88.8,0.67,7333,1649,0.42,952,0,northeast,12,0
56,32,22,608,0,1,2977,10,reefer,4,79.6,3.76,7388,1718,0.403,435,2,northeast,3,0
43,11,10,626,1,0,3096,14,reefer,7,94.8,1.06,7367,2143,0.323,2218,1,midwest,5,0
48,25,9,632,0,1,2693,18,dry_van,7,54.1,5.36,4804,1250,0.554,701,0,west,8,0
21,0,0,636,1,1,2214,11,reefer,6,92.2,2.85,5065,929,0.745,948,0,south,11,1
42,19,19,722,1,1,2133,19,flatbed,8,97.4,3.37,5797,1435,0.482,3786,1,southeast,2,0
34,12,11,476,0,3,2361,8,dry_van,3,97.6,5.01,4063,655,1.057,322,1,midwest,7,1
30,8,7,642,0,0,3497,16,reefer,9,85.8,1.04,7808,2607,0.265,3365,2,west,2,0
33,10,0,634,0,1,2488,14,dry_van,4,96.2,2.43,3776,405,1.71,8855,1,south,2,0
39,15,6,544,0,1,2672,13,reefer,3,92.0,0.9,5225,917,0.754,2569,0,south,3,1
51,25,24,687,0,2,3283,17,flatbed,11,41.4,4.55,8561,1961,0.353,4367,1,west,11,0
29,6,5,589,1,0,2715,10,reefer,4,87.1,0.82,5834,1125,0.615,32909,2,west,8,0
42,17,6,615,0,4,2263,16,dry_van,3,68.6,1.93,5015,1312,0.527,2394,0,south,5,0
37,16,16,769,1,0,2929,11,dry_van,6,94.3,1.64,6952,2356,0.294,2862,1,midwest,5,0
39,17,13,711,0,0,2407,10,dry_van,5,87.3,5.91,5045,1011,0.685,5832,1,west,7,0
52,30,25,680,0,1,2730,7,dry_van,8,65.3,6.76,5861,1349,0.513,1063,2,west,2,0
47,23,23,667,1,0,2830,18,reefer,4,80.9,3.91,6439,1598,0.433,823,2,southeast,3,0
55,34,28,628,0,1,2378,16,reefer,4,77.1,3.14,5846,1466,0.472,1783,0,northeast,7,0
40,6,6,780,0,1,2684,10,reefer,6,80.7,0.79,6448,1482,0.467,1325,1,south,4,0
35,12,5,696,1,0,3320,14,dry_van,6,80.2,2.2,6315,1513,0.457,479,1,southeast,2,0
40,13,10,588,0,0,2318,12,reefer,8,73.9,4.41,5351,971,0.713,442,0,midwest,2,1
44,23,21,542,1,2,3193,11,dry_van,7,86.4,2.19,7719,1587,0.436,402,1,south,7,0
44,20,17,680,0,1,2334,15,dry_van,9,82.3,3.24,5644,1623,0.426,1038,2,northeast,4,0
31,6,0,636,0,0,3411,10,dry_van,6,85.8,0.5,7427,1874,0.369,555,2,southeast,1,0
43,19,17,540,1,1,2215,4,reefer,7,84.6,1.17,4107,731,0.946,3383,2,northeast,4,0
44,21,21,670,1,2,2423,13,dry_van,1,68.5,4.01,5646,1216,0.569,8785,2,south,2,0
67,42,14,621,1,1,3279,12,flatbed,9,74.0,0.74,7500,2398,0.289,3125,1,northeast,3,0
61,31,31,677,0,2,3299,10,dry_van,7,91.1,1.26,6720,2055,0.337,825,0,south,9,0
33,9,8,671,1,1,2968,9,dry_van,4,95.5,0.5,6412,1791,0.386,19211,1,south,12,0
39,12,11,597,0,3,2113,7,dry_van,5,67.6,2.53,5185,1161,0.596,950,0,south,2,0
27,5,1,684,0,1,2637,11,dry_van,5,85.8,1.24,5539,1443,0.48,1141,2,midwest,10,0
36,13,12,605,0,0,2601,9,dry_van,6,60.5,6.37,5922,1521,0.455,1350,1,south,5,0
45,21,17,610,1,1,2215,15,reefer,5,83.8,3.46,4560,1226,0.564,5206,2,midwest,10,0
54,32,25,603,1,0,2914,14,dry_van,1,82.0,3.48,6408,1554,0.445,742,0,northeast,9,0
35,13,11,719,0,0,2250,10,dry_van,6,89.6,0.98,5298,1463,0.473,11789,0,south,11,0
35,0,0,620,1,2,2019,14,dry_van,5,85.9,2.77,4183,548,1.263,226,1,midwest,10,1
21,0,0,736,1,0,1871,12,dry_van,4,81.2,0.68,3969,678,1.021,848,3,midwest,3,0
40,10,9,765,1,1,3371,11,dry_van,7,77.4,1.28,8236,2515,0.275,4906,3,midwest,2,0
31,4,0,588,0,3,2370,12,reefer,3,88.0,7.67,5519,1433,0.483,26634,1,south,4,0
37,11,11,436,0,2,2380,18,reefer,4,85.8,0.94,5923,1695,0.408,10325,0,west,5,0
33,5,2,713,1,1,2136,14,reefer,4,70.0,2.03,4786,1071,0.646,3576,1,southeast,8,0
41,17,16,616,1,2,3216,11,dry_van,4,59.5,1.73,6872,1339,0.517,757,1,west,4,0
24,2,1,579,0,1,1979,15,dry_van,3,99.5,5.33,3838,674,1.027,928,1,west,1,0
27,0,0,599,1,0,2058,15,reefer,4,87.0,0.83,4300,723,0.957,4353,0,southeast,11,0
63,39,35,611,0,1,2455,13,reefer,6,67.5,2.84,5658,974,0.711,4420,1,northeast,2,0
29,7,2,731,1,1,2590,11,dry_van,8,64.8,0.5,6184,1340,0.517,1179,2,midwest,1,0
31,0,0,651,1,2,2896,11,dry_van,5,53.0,3.16,6380,2049,0.338,1175,1,midwest,9,0
60,35,21,730,1,3,2296,8,flatbed,3,75.0,5.0,6207,1609,0.43,6156,0,south,2,0
70,45,40,675,1,0,3295,13,dry_van,2,87.1,2.21,6346,1907,0.363,4437,2,midwest,5,0
30,7,4,618,1,0,2299,10,flatbed,8,80.5,2.7,6838,1917,0.361,2829,1,midwest,4,0
38,14,0,613,0,0,2146,10,reefer,4,57.9,2.98,5564,1169,0.592,845,1,northeast,5,0
45,22,20,679,1,2,2103,14,dry_van,9,90.6,1.12,4109,985,0.703,2987,2,midwest,1,0
59,33,32,697,0,1,2252,18,dry_van,3,39.6,1.94,4633,1012,0.684,1140,3,midwest,2,0
32,8,4,710,1,1,2074,13,flatbed,6,94.6,1.04,4653,819,0.845,1802,3,south,1,0
40,18,16,622,1,0,2938,12,dry_van,7,73.8,3.11,5348,1236,0.56,2330,0,northeast,10,0
50,26,26,652,1,1,2150,12,dry_van,7,89.5,0.99,4793,869,0.796,3510,2,midwest,6,0
